address,address2,almond,beverageonly,city,co_brander_cd,combostore,country,county,dma_cd,drivein,dunkincardenabled,faxnumber,fri_hours,k_cup,lat,lng,loyalty,mobile,mon_hours,phonenumber,postal,recordid,sat_hours,sitetype,statename,sun_hours,thu_hours,tue_hours,turbooven,wed_hours,wireless
98 Forsyth St Nw # 100,,,N,Atlanta,,N,US,Fulton,524,N,Y,--,05:00-22:00,Y,33.757359,-84.388855,Y,Y,05:00-22:00,404-681-1100,30303,310092,05:00-22:00,SE,GA,05:00-22:00,05:00-22:00,05:00-22:00,Y,05:00-22:00,N
190 Marietta St,,,N,Atlanta,,N,US,FULTON,524,N,Y,--,05:30-20:00,Y,33.758288,-84.394698,Y,Y,05:30-20:00,404-589-1122,30303,335522,06:00-20:00,FC,GA,08:00-20:00,05:30-20:00,05:30-20:00,Y,05:30-20:00,Y
303 Peachtree St,,,N,Atlanta,,N,US,FULTON,524,N,Y,--,06:00-17:00,Y,33.762971,-84.386499,Y,Y,06:00-17:00,404-589-1122,30303,330704,,FC,GA,,06:00-17:00,06:00-17:00,Y,06:00-17:00,Y
610 Spring St,,,N,Atlanta,BP,N,US,Fulton,524,Y,Y,--,24HOURS,Y,33.770904,-84.389408,Y,Y,24HOURS,404-532-0046,30354,351692,24HOURS,GC,GA,24HOURS,24HOURS,24HOURS,Y,24HOURS,Y
675 W Peachtree St NW,Suite C10,,N,Atlanta,,N,US,Fulton,524,N,Y,404-758-6450,06:00-17:00,Y,33.773136,-84.387326,Y,Y,06:00-17:00,404-817-8059,30308,310088,,BI,GA,,06:00-17:00,06:00-17:00,Y,06:00-17:00,Y
682 Boulevard NE,,,N,Atlanta,,Y,US,Fulton,524,N,Y,404-810-0018,05:00-23:00,Y,33.77337,-84.371234,Y,Y,05:00-23:00,404-810-0010,30308,350432,06:00-23:00,FS,GA,06:00-23:00,05:00-23:00,05:00-23:00,Y,05:00-23:00,Y
Georgia Institute of Tech,350 Ferst Dr NW,,N,Atlanta,SOD,N,US,Fulton,524,N,N,404-894-6472,07:00-16:00,Y,33.778258,-84.399586,,N,07:00-16:00,404-894-9560,30332,348544,,CU,GA,,07:00-16:00,07:00-16:00,Y,07:00-16:00,E
1302 Ralph David Abernathy Blv,,,N,Atlanta,,N,US,Fulton,524,Y,Y,404-758-6450,06:00-22:00,Y,33.738711,-84.430351,Y,Y,06:00-22:00,404-753-2013,30310,310277,06:00-22:00,FS,GA,06:00-22:00,06:00-22:00,06:00-22:00,Y,06:00-22:00,Y
1766 Howell Mill Rd NW,,,N,Atlanta,,N,US,Fulton,524,Y,Y,--,05:00-22:00,Y,33.80301,-84.41466,Y,Y,05:00-22:00,404-351-0775,30318,350506,05:00-22:00,FS,GA,06:00-22:00,05:00-22:00,05:00-22:00,Y,05:00-22:00,Y
1841 Piedmont Ave NE,,,N,Atlanta,,N,US,Fulton,524,Y,Y,--,05:00-22:00,Y,33.80545,-84.36728,Y,Y,05:00-22:00,404-815-9388,30324,350437,05:00-22:00,FS,GA,06:00-22:00,05:00-22:00,05:00-22:00,Y,05:00-22:00,Y
