distance,distanceUnit,address,address2,almond,beverageonly,city,co_brander_cd,combostore,country,county,dma_cd,drivein,dunkincardenabled,dunkinrunenabled,faxnumber,fri_hours,geocodequality,k_cup,lat,lc,lng,loyalty,mobile,mon_hours,mqap_geography,mqap_id,mqap_quality,n,phonenumber,postal,recordid,sat_hours,sitetype,state,sun_hours,t,thu_hours,tue_hours,turbooven,website,wed_hours,wireless,key,name,resultNumber,shapePoints,sourceName
1.05,m,200 E Fremont St,Fremont Hotel & Casino,Y,N,Las Vegas,,N,US,Clark,839,N,Y,,--,24HOURS,,Y,36.17106,33454002,-115.14327,Y,Y,24HOURS,"{u'latLng': {u'lat': 36.17106, u'lng': -115.14327}}",41a5b8e4-4818-4a46-89d1-877bad1b3100,U1XXX,Dunkin Donuts,702-385-1541,89101,345877,24HOURS,CS,NV,24HOURS,,24HOURS,24HOURS,Y,https://www.dunkindonuts.com,24HOURS,E,41a5b8e4-4818-4a46-89d1-877bad1b3100,Dunkin Donuts,1,"[36.17106, -115.14327]",mqap.33454_DunkinDonuts
4.05,m,4125 S. Eastern Ave,Flamingo Eastern Plaza,Y,N,Las Vegas,,N,US,Clark,839,Y,Y,,--,05:00-18:00,,Y,36.113777,33454002,-115.119562,Y,Y,05:00-18:00,"{u'latLng': {u'lat': 36.113777, u'lng': -115.119562}}",d142dd61-e1bb-4ebc-91de-de0f30957c66,U1XXX,Dunkin Donuts,702-732-4336,89119,346686,05:00-18:00,EC,NV,05:00-18:00,,05:00-18:00,05:00-18:00,Y,https://www.dunkindonuts.com,05:00-18:00,Y,d142dd61-e1bb-4ebc-91de-de0f30957c66,Dunkin Donuts,2,"[36.113777, -115.119562]",mqap.33454_DunkinDonuts
5.1,m,3350 E. Tropicana Ave,# C2,Y,N,Las Vegas,,N,US,Clark,839,Y,Y,,--,05:00-18:00,,Y,36.100608,33454002,-115.102128,Y,Y,05:00-18:00,"{u'latLng': {u'lat': 36.100608, u'lng': -115.102128}}",4bad5ebd-2f73-4623-a81c-e1df81d54ac5,U1XXX,Dunkin Donuts,702-434-5022,89121,346384,05:00-18:00,EC,NV,05:00-18:00,,05:00-18:00,05:00-18:00,Y,https://www.dunkindonuts.com,05:00-18:00,Y,4bad5ebd-2f73-4623-a81c-e1df81d54ac5,Dunkin Donuts,3,"[36.100608, -115.102128]",mqap.33454_DunkinDonuts
5.46,m,5111 Boulder Hwy,Sam's Casino,Y,N,Las Vegas,,N,US,Clark,839,N,Y,,--,24HOURS,,Y,36.1121,33454002,-115.06132,Y,Y,24HOURS,"{u'latLng': {u'lat': 36.1121, u'lng': -115.06132}}",bf95de6c-59d5-40bd-b590-af952ab7f69c,U1XXX,Dunkin Donuts,702-433-8882,89122,345904,24HOURS,CS,NV,24HOURS,,24HOURS,24HOURS,Y,https://www.dunkindonuts.com,24HOURS,E,bf95de6c-59d5-40bd-b590-af952ab7f69c,Dunkin Donuts,4,"[36.1121, -115.06132]",mqap.33454_DunkinDonuts
6.77,m,5485 Simmons St,Ste 3,Y,N,North Las Vegas,,N,US,Clark,839,Y,Y,,--,05:00-19:00,,Y,36.259493,33454002,-115.180311,Y,Y,05:00-19:00,"{u'latLng': {u'lat': 36.259493, u'lng': -115.180311}}",92a0438a-0dbc-4769-a0c9-ddacae928b21,U1XXX,Dunkin Donuts,702-998-1262,89031,349799,05:00-19:00,EC,NV,05:00-19:00,,05:00-19:00,05:00-19:00,Y,https://www.dunkindonuts.com,05:00-19:00,Y,92a0438a-0dbc-4769-a0c9-ddacae928b21,Dunkin Donuts,5,"[36.259493, -115.180311]",mqap.33454_DunkinDonuts
7.21,m,5861 W. Craig Rd,Suite 101,Y,N,Las Vegas,,N,US,Clark,839,Y,Y,,--,04:00-20:00,,Y,36.238606,33454002,-115.224423,Y,Y,04:00-20:00,"{u'latLng': {u'lat': 36.238606, u'lng': -115.224423}}",816e902e-d510-4c5a-9aef-6f125fffc852,U1XXX,Dunkin Donuts,702-396-5031,89130,345643,05:00-20:00,EC,NV,05:00-20:00,,04:00-20:00,04:00-20:00,Y,https://www.dunkindonuts.com,04:00-20:00,Y,816e902e-d510-4c5a-9aef-6f125fffc852,Dunkin Donuts,6,"[36.238606, -115.224423]",mqap.33454_DunkinDonuts
8.23,m,6795 Tropicana Ave,Suite 100,Y,N,Las Vegas,,N,US,Clark,839,N,Y,,--,05:00-20:00,,Y,36.09946,33454002,-115.241092,Y,Y,05:00-20:00,"{u'latLng': {u'lat': 36.09946, u'lng': -115.241092}}",202a7519-1a37-4a64-a98e-2cb362b4993f,U1XXX,Dunkin Donuts,702-889-1368,89103,345933,05:00-19:00,IN,NV,05:00-19:00,,05:00-20:00,05:00-20:00,Y,https://www.dunkindonuts.com,05:00-20:00,Y,202a7519-1a37-4a64-a98e-2cb362b4993f,Dunkin Donuts,7,"[36.09946, -115.241092]",mqap.33454_DunkinDonuts
8.47,m,7400 Las Vegas Blvd S,,Y,N,Las Vegas,,N,US,Clark,839,N,Y,,--,08:00-21:00,,Y,36.05488,33454002,-115.1691,Y,Y,08:00-21:00,"{u'latLng': {u'lat': 36.05488, u'lng': -115.1691}}",b9549e83-ffb4-4db7-ae2e-ef7e54db4f68,U1XXX,Dunkin Donuts,702-385-9285,89123,345612,08:00-20:00,FC,NV,08:00-20:00,,08:00-21:00,08:00-21:00,Y,https://www.dunkindonuts.com,08:00-21:00,N,b9549e83-ffb4-4db7-ae2e-ef7e54db4f68,Dunkin Donuts,8,"[36.05488, -115.1691]",mqap.33454_DunkinDonuts
8.53,m,7430 Las Vegas Blvd,Suite 100,Y,N,Las Vegas,,N,US,Clark,839,Y,Y,,--,05:00-21:00,,Y,36.054664,33454002,-115.171578,Y,Y,05:00-21:00,"{u'latLng': {u'lat': 36.054664, u'lng': -115.171578}}",fa58a8a4-ff4f-43cd-b9e3-ab817c7db966,U1XXX,Dunkin Donuts,702-263-7403,89123,347434,05:00-21:00,EC,NV,05:00-21:00,,05:00-21:00,05:00-21:00,Y,https://www.dunkindonuts.com,05:00-21:00,Y,fa58a8a4-ff4f-43cd-b9e3-ab817c7db966,Dunkin Donuts,9,"[36.054664, -115.171578]",mqap.33454_DunkinDonuts
9.21,m,3481 S Durango Dr,,,N,Las Vegas,,N,US,Clark,839,Y,Y,,--,05:00-21:00,,Y,36.126825,33454002,-115.279379,Y,Y,05:00-21:00,"{u'latLng': {u'lat': 36.126825, u'lng': -115.279379}}",72666d94-5e21-496d-8815-ee948f06e9cc,U1XXX,Dunkin Donuts,702-650-0226,89117,353343,05:00-21:00,FS,NV,05:00-21:00,,05:00-21:00,05:00-21:00,Y,https://www.dunkindonuts.com,05:00-21:00,Y,72666d94-5e21-496d-8815-ee948f06e9cc,Dunkin Donuts,10,"[36.126825, -115.279379]",mqap.33454_DunkinDonuts
