distance,distanceUnit,address,address2,almond,beverageonly,city,co_brander_cd,combostore,country,county,dma_cd,drivein,dunkincardenabled,dunkinrunenabled,faxnumber,fri_hours,geocodequality,k_cup,lat,lc,lng,loyalty,mobile,mon_hours,mqap_geography,mqap_id,mqap_quality,n,phonenumber,postal,recordid,sat_hours,sitetype,state,sun_hours,t,thu_hours,tue_hours,turbooven,website,wed_hours,wireless,key,name,resultNumber,shapePoints,sourceName
29.59,m,1825 N Superior Ave,,,N,Tomah,,N,US,Monroe,702,Y,Y,,--,05:00-22:00,,Y,44.016666,33454002,-90.504672,Y,Y,05:00-22:00,"{u'latLng': {u'lat': 44.016666, u'lng': -90.504672}}",8dbfc0b5-58c3-41fc-85e7-62934f22f79b,U1XXX,Dunkin Donuts,608-374-5678,54660,352431,05:00-22:00,EC,WI,06:00-22:00,,05:00-22:00,05:00-22:00,Y,https://www.dunkindonuts.com,05:00-22:00,N,8dbfc0b5-58c3-41fc-85e7-62934f22f79b,Dunkin Donuts,1,"[44.016666, -90.504672]",mqap.33454_DunkinDonuts
36.92,m,3005 Village Park Dr,,,N,Plover,MOB,N,US,Portage,705,Y,Y,,--,05:00-22:00,,Y,44.453754,33454002,-89.523281,Y,Y,05:00-22:00,"{u'latLng': {u'lat': 44.453754, u'lng': -89.523281}}",ff1e7294-acfc-409e-be81-2801c3b28cd4,U1XXX,Dunkin Donuts,715-544-0515,54467,350455,05:00-22:00,GC,WI,05:00-22:00,,05:00-22:00,05:00-22:00,Y,https://www.dunkindonuts.com,05:00-22:00,Y,ff1e7294-acfc-409e-be81-2801c3b28cd4,Dunkin Donuts,2,"[44.453754, -89.523281]",mqap.33454_DunkinDonuts
46.34,m,4528 Rib Mountain Dr,,,N,Wausau,,N,US,Marathon,705,Y,Y,,--,24HOURS,,Y,44.915934,33454002,-89.649765,Y,Y,24HOURS,"{u'latLng': {u'lat': 44.915934, u'lng': -89.649765}}",aafeabde-6cb3-4d27-ae82-fc26d2a4c718,U1XXX,Dunkin Donuts,715-298-5880,54401,352545,24HOURS,FS,WI,24HOURS,,24HOURS,24HOURS,Y,https://www.dunkindonuts.com,24HOURS,N,aafeabde-6cb3-4d27-ae82-fc26d2a4c718,Dunkin Donuts,3,"[44.915934, -89.649765]",mqap.33454_DunkinDonuts
48.36,m,4020 Schofield Ave,,,N,Weston,,N,US,Marathon,705,Y,Y,,--,05:00-22:00,,Y,44.904883,33454002,-89.573065,Y,Y,05:00-22:00,"{u'latLng': {u'lat': 44.904883, u'lng': -89.573065}}",b7c57bbf-e9c0-4fce-8c30-888ea0214099,U1XXX,Dunkin Donuts,--,54476,352546,05:00-22:00,EC,WI,05:00-22:00,,05:00-22:00,05:00-22:00,Y,https://www.dunkindonuts.com,05:00-22:00,N,b7c57bbf-e9c0-4fce-8c30-888ea0214099,Dunkin Donuts,4,"[44.904883, -89.573065]",mqap.33454_DunkinDonuts
59.16,m,2415 Wisconsin Dells Pkwy,,,N,Wisconsin Dells,SHL,N,US,Columbia,669,Y,Y,,--,05:30-00:00,,Y,43.625906,33454002,-89.787073,Y,Y,05:30-22:00,"{u'latLng': {u'lat': 43.625906, u'lng': -89.787073}}",f4c0aa21-2a1c-47d9-9a00-f8f461a38b0a,U1XXX,Dunkin Donuts,608-253-5353,53965,349710,05:30-00:00,GC,WI,05:30-22:00,,05:30-22:00,05:30-22:00,Y,https://www.dunkindonuts.com,05:30-22:00,Y,f4c0aa21-2a1c-47d9-9a00-f8f461a38b0a,Dunkin Donuts,5,"[43.625906, -89.787073]",mqap.33454_DunkinDonuts
62.54,m,1171 S Wisconsin Dells Pkwy,,,N,Lake Delton,MOB,N,US,Sauk,669,Y,Y,,608-254-4024,24HOURS,,Y,43.575642,33454002,-89.777377,Y,Y,24HOURS,"{u'latLng': {u'lat': 43.575642, u'lng': -89.777377}}",4ec19b79-e1ac-4ee2-892c-0e98d30b5f2f,U1XXX,Dunkin Donuts,608-254-1111,53940,349002,24HOURS,GC,WI,24HOURS,,24HOURS,24HOURS,Y,https://www.dunkindonuts.com,24HOURS,Y,4ec19b79-e1ac-4ee2-892c-0e98d30b5f2f,Dunkin Donuts,6,"[43.575642, -89.777377]",mqap.33454_DunkinDonuts
69.34,m,2836 N Clairemont Ave,,,N,Eau Claire,,N,US,Eau Claire,702,Y,Y,,--,24HOURS,,Y,44.828014,33454002,-91.545162,Y,Y,24HOURS,"{u'latLng': {u'lat': 44.828014, u'lng': -91.545162}}",42026084-055c-41d2-ae63-5885e33337d0,U1XXX,Dunkin Donuts,715-598-1500,54703,352792,24HOURS,EC,WI,24HOURS,,24HOURS,24HOURS,Y,https://www.dunkindonuts.com,24HOURS,N,42026084-055c-41d2-ae63-5885e33337d0,Dunkin Donuts,7,"[44.828014, -91.545162]",mqap.33454_DunkinDonuts
93.22,m,404 W Main St,,,N,Waunakee,BP,N,US,Dane,669,Y,Y,,--,05:00-23:00,,Y,43.191868,33454002,-89.461459,Y,Y,05:00-23:00,"{u'latLng': {u'lat': 43.191868, u'lng': -89.461459}}",ba3441a8-5f53-4eef-9b93-40b6bde1e889,U1XXX,Dunkin Donuts,608-850-9578,53597,350274,05:30-23:00,GC,WI,06:00-22:00,,05:00-23:00,05:00-23:00,Y,https://www.dunkindonuts.com,05:00-23:00,Y,ba3441a8-5f53-4eef-9b93-40b6bde1e889,Dunkin Donuts,8,"[43.191868, -89.461459]",mqap.33454_DunkinDonuts
94.81,m,1415 Lincoln St,,,N,Rhinelander,,N,US,Oneida,705,Y,Y,,--,05:00-22:00,,Y,45.633439,33454002,-89.389484,Y,Y,05:00-22:00,"{u'latLng': {u'lat': 45.633439, u'lng': -89.389484}}",ef39fedb-f00e-4a19-a461-3af2bed788e5,U1XXX,Dunkin Donuts,715-420-2004,54501,353089,05:00-22:00,FS,WI,05:00-22:00,,05:00-22:00,05:00-22:00,Y,https://www.dunkindonuts.com,05:00-22:00,N,ef39fedb-f00e-4a19-a461-3af2bed788e5,Dunkin Donuts,9,"[45.633439, -89.389484]",mqap.33454_DunkinDonuts
95.73,m,W3208 County Road KK,,,N,Appleton,,N,US,Outagamie,658,Y,Y,,--,05:00-22:00,,Y,44.244095,33454002,-88.349207,Y,Y,05:00-22:00,"{u'latLng': {u'lat': 44.244095, u'lng': -88.349207}}",982c1c06-5724-4f30-94b3-b8a05c5bbfec,U1XXX,Dunkin Donuts,920-733-7740,54915,351103,05:00-22:00,FS,WI,05:00-22:00,,05:00-22:00,05:00-22:00,Y,https://www.dunkindonuts.com,05:00-22:00,Y,982c1c06-5724-4f30-94b3-b8a05c5bbfec,Dunkin Donuts,10,"[44.244095, -88.349207]",mqap.33454_DunkinDonuts
